plot,range,line,entry,source,rep,environment,id_sample,sample_name,experiment_name,season,variable_name,sampling_identifier,variable_value,date,variable_units,Days_after_planting
1,2,E19269,3,Wang,1,Early planting date,1_a_ACRE-Biomass_Early_y22_canopy-height_sampling-1,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-1,16.51,7/12/2022,cm,42
1,2,E19269,3,Wang,1,Early planting date,1_b_ACRE-Biomass_Early_y22_canopy-height_sampling-1,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-1,24.13,7/12/2022,cm,42
1,2,E19269,3,Wang,1,Early planting date,1_a_ACRE-Biomass_Early_y22_canopy-height_sampling-2,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,45,7/25/2022,cm,55
1,2,E19269,3,Wang,1,Early planting date,1_b_ACRE-Biomass_Early_y22_canopy-height_sampling-2,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,38,7/25/2022,cm,55
1,2,E19269,3,Wang,1,Early planting date,1_c_ACRE-Biomass_Early_y22_canopy-height_sampling-2,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,43,7/25/2022,cm,55
1,2,E19269,3,Wang,1,Early planting date,1_d_ACRE-Biomass_Early_y22_canopy-height_sampling-2,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,41,7/25/2022,cm,55
1,2,E19269,3,Wang,1,Early planting date,1_a_ACRE-Biomass_Early_y22_canopy-height_sampling-3,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,61,8/1/2022,cm,62
1,2,E19269,3,Wang,1,Early planting date,1_b_ACRE-Biomass_Early_y22_canopy-height_sampling-3,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,55,8/1/2022,cm,62
1,2,E19269,3,Wang,1,Early planting date,1_c_ACRE-Biomass_Early_y22_canopy-height_sampling-3,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,52,8/1/2022,cm,62
1,2,E19269,3,Wang,1,Early planting date,1_d_ACRE-Biomass_Early_y22_canopy-height_sampling-3,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,63,8/1/2022,cm,62
1,2,E19269,3,Wang,1,Early planting date,1_a_ACRE-Biomass_Early_y22_canopy-height_sampling-4,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,72,8/9/2022,cm,70
1,2,E19269,3,Wang,1,Early planting date,1_b_ACRE-Biomass_Early_y22_canopy-height_sampling-4,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,73,8/9/2022,cm,70
1,2,E19269,3,Wang,1,Early planting date,1_c_ACRE-Biomass_Early_y22_canopy-height_sampling-4,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,66,8/9/2022,cm,70
1,2,E19269,3,Wang,1,Early planting date,1_d_ACRE-Biomass_Early_y22_canopy-height_sampling-4,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,79,8/9/2022,cm,70
1,2,E19269,3,Wang,1,Early planting date,1_a_ACRE-Biomass_Early_y22_canopy-height_sampling-5,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,93,8/17/2022,cm,78
1,2,E19269,3,Wang,1,Early planting date,1_b_ACRE-Biomass_Early_y22_canopy-height_sampling-5,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,93,8/17/2022,cm,78
1,2,E19269,3,Wang,1,Early planting date,1_c_ACRE-Biomass_Early_y22_canopy-height_sampling-5,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,83,8/17/2022,cm,78
1,2,E19269,3,Wang,1,Early planting date,1_d_ACRE-Biomass_Early_y22_canopy-height_sampling-5,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,79,8/17/2022,cm,78
2,2,U15-606207,24,Checks,1,Early planting date,2_a_ACRE-Biomass_Early_y22_canopy-height_sampling-1,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-1,39.37,7/12/2022,cm,42
2,2,U15-606207,24,Checks,1,Early planting date,2_b_ACRE-Biomass_Early_y22_canopy-height_sampling-1,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-1,26.67,7/12/2022,cm,42
2,2,U15-606207,24,Checks,1,Early planting date,2_a_ACRE-Biomass_Early_y22_canopy-height_sampling-2,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,48,7/25/2022,cm,55
2,2,U15-606207,24,Checks,1,Early planting date,2_b_ACRE-Biomass_Early_y22_canopy-height_sampling-2,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,52,7/25/2022,cm,55
2,2,U15-606207,24,Checks,1,Early planting date,2_c_ACRE-Biomass_Early_y22_canopy-height_sampling-2,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,53,7/25/2022,cm,55
2,2,U15-606207,24,Checks,1,Early planting date,2_d_ACRE-Biomass_Early_y22_canopy-height_sampling-2,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,44,7/25/2022,cm,55
2,2,U15-606207,24,Checks,1,Early planting date,2_a_ACRE-Biomass_Early_y22_canopy-height_sampling-3,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,50,8/1/2022,cm,62
2,2,U15-606207,24,Checks,1,Early planting date,2_b_ACRE-Biomass_Early_y22_canopy-height_sampling-3,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,42,8/1/2022,cm,62
2,2,U15-606207,24,Checks,1,Early planting date,2_c_ACRE-Biomass_Early_y22_canopy-height_sampling-3,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,60,8/1/2022,cm,62
2,2,U15-606207,24,Checks,1,Early planting date,2_d_ACRE-Biomass_Early_y22_canopy-height_sampling-3,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,62,8/1/2022,cm,62
2,2,U15-606207,24,Checks,1,Early planting date,2_a_ACRE-Biomass_Early_y22_canopy-height_sampling-4,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,76,8/9/2022,cm,70
2,2,U15-606207,24,Checks,1,Early planting date,2_b_ACRE-Biomass_Early_y22_canopy-height_sampling-4,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,79,8/9/2022,cm,70
2,2,U15-606207,24,Checks,1,Early planting date,2_c_ACRE-Biomass_Early_y22_canopy-height_sampling-4,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,83,8/9/2022,cm,70
2,2,U15-606207,24,Checks,1,Early planting date,2_d_ACRE-Biomass_Early_y22_canopy-height_sampling-4,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,80,8/9/2022,cm,70
2,2,U15-606207,24,Checks,1,Early planting date,2_a_ACRE-Biomass_Early_y22_canopy-height_sampling-5,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,87,8/17/2022,cm,78
2,2,U15-606207,24,Checks,1,Early planting date,2_b_ACRE-Biomass_Early_y22_canopy-height_sampling-5,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,98,8/17/2022,cm,78
2,2,U15-606207,24,Checks,1,Early planting date,2_c_ACRE-Biomass_Early_y22_canopy-height_sampling-5,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,97,8/17/2022,cm,78
2,2,U15-606207,24,Checks,1,Early planting date,2_d_ACRE-Biomass_Early_y22_canopy-height_sampling-5,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,106,8/17/2022,cm,78
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_a_ACRE-Biomass_Early_y22_canopy-height_sampling-1,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-1,38.1,7/12/2022,cm,42
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_b_ACRE-Biomass_Early_y22_canopy-height_sampling-1,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-1,39.37,7/12/2022,cm,42
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_a_ACRE-Biomass_Early_y22_canopy-height_sampling-2,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,60,7/25/2022,cm,55
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_b_ACRE-Biomass_Early_y22_canopy-height_sampling-2,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,59,7/25/2022,cm,55
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_c_ACRE-Biomass_Early_y22_canopy-height_sampling-2,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,45,7/25/2022,cm,55
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_d_ACRE-Biomass_Early_y22_canopy-height_sampling-2,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,44,7/25/2022,cm,55
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_a_ACRE-Biomass_Early_y22_canopy-height_sampling-3,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,52,8/1/2022,cm,62
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_b_ACRE-Biomass_Early_y22_canopy-height_sampling-3,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,55,8/1/2022,cm,62
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_c_ACRE-Biomass_Early_y22_canopy-height_sampling-3,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,48,8/1/2022,cm,62
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_d_ACRE-Biomass_Early_y22_canopy-height_sampling-3,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,59,8/1/2022,cm,62
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_a_ACRE-Biomass_Early_y22_canopy-height_sampling-4,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,82,8/9/2022,cm,70
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_b_ACRE-Biomass_Early_y22_canopy-height_sampling-4,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,93,8/9/2022,cm,70
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_c_ACRE-Biomass_Early_y22_canopy-height_sampling-4,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,91,8/9/2022,cm,70
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_d_ACRE-Biomass_Early_y22_canopy-height_sampling-4,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,82,8/9/2022,cm,70
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_a_ACRE-Biomass_Early_y22_canopy-height_sampling-5,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,93,8/17/2022,cm,78
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_b_ACRE-Biomass_Early_y22_canopy-height_sampling-5,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,89,8/17/2022,cm,78
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_c_ACRE-Biomass_Early_y22_canopy-height_sampling-5,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,106,8/17/2022,cm,78
3,2,SA18-11280,7,Scaboo,1,Early planting date,3_d_ACRE-Biomass_Early_y22_canopy-height_sampling-5,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,100,8/17/2022,cm,78
4,2,CR16-2874,19,Rainey,1,Early planting date,4_a_ACRE-Biomass_Early_y22_canopy-height_sampling-1,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-1,40.64,7/12/2022,cm,42
4,2,CR16-2874,19,Rainey,1,Early planting date,4_b_ACRE-Biomass_Early_y22_canopy-height_sampling-1,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-1,30.48,7/12/2022,cm,42
4,2,CR16-2874,19,Rainey,1,Early planting date,4_a_ACRE-Biomass_Early_y22_canopy-height_sampling-2,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,51,7/25/2022,cm,55
4,2,CR16-2874,19,Rainey,1,Early planting date,4_b_ACRE-Biomass_Early_y22_canopy-height_sampling-2,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,56,7/25/2022,cm,55
4,2,CR16-2874,19,Rainey,1,Early planting date,4_c_ACRE-Biomass_Early_y22_canopy-height_sampling-2,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,52,7/25/2022,cm,55
4,2,CR16-2874,19,Rainey,1,Early planting date,4_d_ACRE-Biomass_Early_y22_canopy-height_sampling-2,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,53,7/25/2022,cm,55
4,2,CR16-2874,19,Rainey,1,Early planting date,4_a_ACRE-Biomass_Early_y22_canopy-height_sampling-3,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,62,8/1/2022,cm,62
4,2,CR16-2874,19,Rainey,1,Early planting date,4_b_ACRE-Biomass_Early_y22_canopy-height_sampling-3,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,52,8/1/2022,cm,62
4,2,CR16-2874,19,Rainey,1,Early planting date,4_c_ACRE-Biomass_Early_y22_canopy-height_sampling-3,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,61,8/1/2022,cm,62
4,2,CR16-2874,19,Rainey,1,Early planting date,4_d_ACRE-Biomass_Early_y22_canopy-height_sampling-3,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,63,8/1/2022,cm,62
4,2,CR16-2874,19,Rainey,1,Early planting date,4_a_ACRE-Biomass_Early_y22_canopy-height_sampling-4,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,68,8/9/2022,cm,70
4,2,CR16-2874,19,Rainey,1,Early planting date,4_b_ACRE-Biomass_Early_y22_canopy-height_sampling-4,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,75,8/9/2022,cm,70
4,2,CR16-2874,19,Rainey,1,Early planting date,4_c_ACRE-Biomass_Early_y22_canopy-height_sampling-4,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,78,8/9/2022,cm,70
4,2,CR16-2874,19,Rainey,1,Early planting date,4_d_ACRE-Biomass_Early_y22_canopy-height_sampling-4,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-4,77,8/9/2022,cm,70
4,2,CR16-2874,19,Rainey,1,Early planting date,4_a_ACRE-Biomass_Early_y22_canopy-height_sampling-5,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,90,8/17/2022,cm,78
4,2,CR16-2874,19,Rainey,1,Early planting date,4_b_ACRE-Biomass_Early_y22_canopy-height_sampling-5,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,91,8/17/2022,cm,78
4,2,CR16-2874,19,Rainey,1,Early planting date,4_c_ACRE-Biomass_Early_y22_canopy-height_sampling-5,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,78,8/17/2022,cm,78
4,2,CR16-2874,19,Rainey,1,Early planting date,4_d_ACRE-Biomass_Early_y22_canopy-height_sampling-5,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-5,75,8/17/2022,cm,78
5,2,LD15-3818,11,Diers,1,Early planting date,5_a_ACRE-Biomass_Early_y22_canopy-height_sampling-1,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-1,31.75,7/12/2022,cm,42
5,2,LD15-3818,11,Diers,1,Early planting date,5_b_ACRE-Biomass_Early_y22_canopy-height_sampling-1,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-1,30.48,7/12/2022,cm,42
5,2,LD15-3818,11,Diers,1,Early planting date,5_a_ACRE-Biomass_Early_y22_canopy-height_sampling-2,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,45,7/25/2022,cm,55
5,2,LD15-3818,11,Diers,1,Early planting date,5_b_ACRE-Biomass_Early_y22_canopy-height_sampling-2,B,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,51,7/25/2022,cm,55
5,2,LD15-3818,11,Diers,1,Early planting date,5_c_ACRE-Biomass_Early_y22_canopy-height_sampling-2,c,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,41,7/25/2022,cm,55
5,2,LD15-3818,11,Diers,1,Early planting date,5_d_ACRE-Biomass_Early_y22_canopy-height_sampling-2,d,ACRE Public Biomass,Summer 2022,Canopy height,sampling-2,42,7/25/2022,cm,55
5,2,LD15-3818,11,Diers,1,Early planting date,5_a_ACRE-Biomass_Early_y22_canopy-height_sampling-3,A,ACRE Public Biomass,Summer 2022,Canopy height,sampling-3,58,8/1/2022,cm,62
