plot,range,line,entry,source,rep,environment,id_sample,sample_name,experiment_name,sampling_identifier,measurment,season,LAI_FILE,LAI,DATE,TIME,Days_after_planting
1,2,E19269,3,Wang,1,Early,1_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE-Biomass,sampling-1,LAI,y22,AE1-001A,0.6592,7/13/2022,7:24:43,42
1,2,E19269,3,Wang,1,Early,1_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE-Biomass,sampling-1,LAI,y22,AE1-001B,0.8709,7/13/2022,7:30:37,42
1,2,E19269,3,Wang,1,Early,1_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE-Biomass,sampling-2,LAI,y22,AE2-001A,4.722,7/25/2022,7:26:12,54
1,2,E19269,3,Wang,1,Early,1_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE-Biomass,sampling-2,LAI,y22,AE2-001B,2.165,7/25/2022,7:27:17,54
1,2,E19269,3,Wang,1,Early,1_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE-Biomass,sampling-3,LAI,y22,AE3-001A,2.069,8/1/2022,15:15:13,61
1,2,E19269,3,Wang,1,Early,1_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE-Biomass,sampling-3,LAI,y22,AE3-001B,2.327,8/1/2022,15:17:10,61
1,2,E19269,3,Wang,1,Early,1_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE-Biomass,sampling-4,LAI,y22,AE4-001A,2.939,8/9/2022,7:37:26,69
1,2,E19269,3,Wang,1,Early,1_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE-Biomass,sampling-4,LAI,y22,AE4-001B,2.878,8/9/2022,7:38:07,69
1,2,E19269,3,Wang,1,Early,1_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE-Biomass,sampling-5,LAI,y22,AE5-001A,3.595,8/17/2022,7:47:12,77
1,2,E19269,3,Wang,1,Early,1_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE-Biomass,sampling-5,LAI,y22,AE5-001B,3.849,8/17/2022,7:47:46,77
2,2,U15-606207,24,Checks,1,Early,2_A_ACRE-Biomass_Early_y22_LAI_sampling-1,A,ACRE-Biomass,sampling-1,LAI,y22,AE1-002A,0.71,7/13/2022,7:32:21,42
2,2,U15-606207,24,Checks,1,Early,2_B_ACRE-Biomass_Early_y22_LAI_sampling-1,B,ACRE-Biomass,sampling-1,LAI,y22,AE1-002B,0.4045,7/13/2022,7:33:32,42
2,2,U15-606207,24,Checks,1,Early,2_A_ACRE-Biomass_Early_y22_LAI_sampling-2,A,ACRE-Biomass,sampling-2,LAI,y22,AE2-002A,1.105,7/25/2022,7:27:55,54
2,2,U15-606207,24,Checks,1,Early,2_B_ACRE-Biomass_Early_y22_LAI_sampling-2,B,ACRE-Biomass,sampling-2,LAI,y22,AE2-002B,1.906,7/25/2022,7:29:20,54
2,2,U15-606207,24,Checks,1,Early,2_A_ACRE-Biomass_Early_y22_LAI_sampling-3,A,ACRE-Biomass,sampling-3,LAI,y22,AE3-002A,3.144,8/1/2022,15:17:58,61
2,2,U15-606207,24,Checks,1,Early,2_B_ACRE-Biomass_Early_y22_LAI_sampling-3,B,ACRE-Biomass,sampling-3,LAI,y22,AE3-002B,3.309,8/1/2022,15:18:47,61
2,2,U15-606207,24,Checks,1,Early,2_A_ACRE-Biomass_Early_y22_LAI_sampling-4,A,ACRE-Biomass,sampling-4,LAI,y22,AE4-002A,3.319,8/9/2022,7:38:42,69
2,2,U15-606207,24,Checks,1,Early,2_B_ACRE-Biomass_Early_y22_LAI_sampling-4,B,ACRE-Biomass,sampling-4,LAI,y22,AE4-002B,3.63,8/9/2022,7:40:11,69
2,2,U15-606207,24,Checks,1,Early,2_A_ACRE-Biomass_Early_y22_LAI_sampling-5,A,ACRE-Biomass,sampling-5,LAI,y22,AE5-002A,5.101,8/17/2022,7:48:22,77
2,2,U15-606207,24,Checks,1,Early,2_B_ACRE-Biomass_Early_y22_LAI_sampling-5,B,ACRE-Biomass,sampling-5,LAI,y22,AE5-002B,4.996,8/17/2022,7:49:29,77
